# Sleeper player IDs. Header row "id,name,position,team", then one record per line; blank lines and # comments ignored.
id,name,position,team
4984,Josh Allen,QB,BUF
9493,Puka Nacua,WR,LAR
7547,Amon-Ra St. Brown,WR,DET
8112,Drake London,WR,ATL
12517,Colston Loveland,TE,CHI
12481,Cam Skattebo,RB,NYG
4227,Harrison Butker,K,KC
5991,Maxx Crosby,DE,LV
7626,Odafe Oweh,LB,WAS

# bench
12519,Luther Burden III,WR,CHI
13281,Jordyn Tyson,WR,NO
13411,Zavion Thomas,WR,CHI
13330,Kenyon Sadiq,TE,NYJ
13322,Sam Roush,TE,CHI
7611,Rhamondre Stevenson,RB,NE
8228,Jaylen Warren,RB,PIT
11643,Jaylen Wright,RB,MIA
12469,Dylan Sampson,RB,CLE
11564,Drake Maye,QB,NE
9228,Bryce Young,QB,CAR
12185,Spencer Shrader,K,IND
11663,Chop Robinson,DE,MIA
12561,Derrick Harmon,DL,PIT
12591,Xavier Watts,DB,ATL
