# Sleeper player IDs. One "id,name" per line; blank lines and # comments ignored.
4984,Josh Allen
9493,Puka Nacua
7547,Amon-Ra St. Brown
8112,Drake London
12517,Colston Loveland
12481,Cam Skattebo
4227,Harrison Butker
5991,Maxx Crosby
7626,Odafe Oweh

# bench
12519,Luther Burden III
13281,Jordyn Tyson
13411,Zavion Thomas
13330,Kenyon Sadiq
13322,Sam Roush
7611,Rhamondre Stevenson
8228,Jaylen Warren
11643,Jaylen Wright
12469,Dylan Sampson
11564,Drake Maye
9228,Bryce Young
12185,Spencer Shrader
11663,Chop Robinson
12561,Derrick Harmon
12591,Xavier Watts
